sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,74.9478931427002,67.65424990653992,3726808,3388009,26.826184511184692,15.309558391571045,45.61829471588135,43.78152370452881,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.MULTIPLE,57.87965369224548,74.04539942741394,0,3388011,12.03695011138916,0.003928422927856445,2.2707810401916504,33.158015727996826,0,0
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,57.97835922241211,74.11421942710876,0,3388011,12.045042276382446,0.003987550735473633,2.3067848682403564,33.22255492210388,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.2793288230896,50.64385986328125,0,3388011,4.523771047592163,0.004136800765991211,2.283052921295166,22.704433917999268,0,0
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,57.807557344436646,74.29813122749329,0,3388011,12.164106607437134,0.003941774368286133,2.2765016555786133,33.33634901046753,0,0
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,80.28419923782349,69.51528120040894,3726808,3388009,27.270086526870728,17.046704053878784,50.60485219955444,43.93489170074463,0,0
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,150.48372435569763,111.84315395355225,3726808,3388009,59.212533712387085,24.161304235458374,88.83569025993347,79.02698087692261,0,0
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,91.55590558052063,75.63252258300781,2824,3388009,77.64358592033386,0.0519862174987793,2.1833996772766113,43.26286292076111,0,0
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,39.563695192337036,50.80107140541077,0,3388011,4.50107741355896,0.003996133804321289,2.2722110748291016,22.84595823287964,0,0
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,35.4391405582428,42.79856896400452,2824,3388009,21.431901693344116,0.05349326133728027,2.1345486640930176,25.64913058280945,0,0
