hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
ram,tmpfs,timeit_seeks_,4,1000000,5000,0.350483894348
ram,tmpfs,timeit_seeks_,5,1000000,5000,0.342169046402
ram,tmpfs,timeit_seeks_,6,1000000,5000,0.364538908005
ram,tmpfs,timeit_seeks_,7,1000000,5000,0.341845989227
ssd,ext4,timeit_seeks_,0,1000000,5000,0.355387210846
ssd,ext4,timeit_seeks_,1,1000000,5000,0.358824014664
ssd,ext4,timeit_seeks_,2,1000000,5000,0.34477519989
ssd,ext4,timeit_seeks_,3,1000000,5000,0.367115020752
ssd,ext4,timeit_seeks_,4,1000000,5000,0.345021009445
ssd,ext4,timeit_seeks_,5,1000000,5000,0.355622053146
ssd,ext4,timeit_seeks_,6,1000000,5000,0.352100133896
ssd,ext4,timeit_seeks_,7,1000000,5000,0.34489607811
hdd,ext4,timeit_seeks_,0,1000000,5000,0.374534130096
hdd,ext4,timeit_seeks_,1,1000000,5000,0.344856977463
hdd,ext4,timeit_seeks_,2,1000000,5000,0.365772008896
hdd,ext4,timeit_seeks_,3,1000000,5000,0.347451925278
hdd,ext4,timeit_seeks_,4,1000000,5000,0.345028162003
hdd,ext4,timeit_seeks_,5,1000000,5000,0.369649171829
hdd,ext4,timeit_seeks_,6,1000000,5000,0.344975948334
hdd,ext4,timeit_seeks_,7,1000000,5000,0.381399154663
ram,tmpfs,timeit_seeks_,0,1000000,50000,0.34241604805
ram,tmpfs,timeit_seeks_,1,1000000,50000,0.342236042023
ram,tmpfs,timeit_seeks_,2,1000000,50000,0.362879991531
ram,tmpfs,timeit_seeks_,3,1000000,50000,0.343555927277
ram,tmpfs,timeit_seeks_,4,1000000,50000,0.358157157898
ram,tmpfs,timeit_seeks_,5,1000000,50000,0.343239068985
ram,tmpfs,timeit_seeks_,6,1000000,50000,0.342195987701
ram,tmpfs,timeit_seeks_,7,1000000,50000,0.363311052322
ssd,ext4,timeit_seeks_,0,1000000,50000,0.34518289566
ssd,ext4,timeit_seeks_,1,1000000,50000,0.36316204071
ssd,ext4,timeit_seeks_,2,1000000,50000,0.345448970795
ssd,ext4,timeit_seeks_,3,1000000,50000,0.345063924789
